agricultura	agriculture
cor	heart
dea	goddess
domus	house
gnomon	sundial
mens	mind
mons	mountain
via	road
animus	soul
dominus	master
gramma	letter
pes	foot
magister	master
θεια	aunt
montem	mountain
aedes	temple
patrem	father
matrem	mother
greek	greek
ψυχή	soul
mare	sea
dies	day
nomen	name
bellum	war
amor	love
vita	life
anima	soul
caput	head
littera	letter
luna	moon
mulier	woman
cogo	compel
vis	force
sol	sun
soul	soul
deus	god
terra	earth
lingua	language
divine	divine
temple	temple
corpus	body
homo	man
filia	daughter
locus	place
tempus	time
verbum	word
casa	house
puer	boy
mater	mother
oculus	eye
mors	death
solem	sun
pax	peace
lex	law
manus	hand
vox	voice
pater	father
γράμμα	letter
καρπός	fruit
ζεστός	hot
γραμμή	line
γεωργία	tillage
δεσπότης	master
θεία	aunt
δεινός	terrible
βία	force
γοητεία	witchcraft
κωφός	blunt
γεωδαισία	surveying
δέσποινα	lady
hand	hand
templum	temple
aqua	water
rex	king
urbs	city
mortem	death
nox	night
noctem	night
annus	year
caelum	sky
ignis	fire
flumen	river
filius	son
amicus	friend
hostis	enemy
populus	people
sanguis	blood
deinos	terrible
despotes	master
dirus	terrible
entropy	entropy
goeteia	witchcraft
hands	hands
latin	latin
sententia	opinion
water	water
zipf	zipf
γνωμων	sundial
γραμμα	letter
δεσποτης	master
δεσποινα	lady
δεινος	terrible
γοητεια	witchcraft
γοης	sorcerer
γλωσσις	wryneck
δασυς	hairy
δασυτης	hairiness
διπλωσις	doubling
γεωδαισια	land_surveying
γαγγιλη	dewlap
γαγγλιον	ganglion
βιαζω	force
βια	force
βιαιος	forcible
γραμμη	line
καρπος	fruit
κομητης	comet
θεσπεσιος	divine
δυσμενης	hostile
ζεστος	hot
κρατυς	strong
κληδων	omen
κνημις	greave
καραβιον	boat
καυλος	stem
δοτικος	generous
δηρις	battle
ευζωνος	well_girded
ζημια	penalty
κωφος	blunt
λις	lion
λειτωρ	priest
λυριστης	lyrist
μυωψ	shortsighted
νωνυμος	nameless
σαθρος	rotten
σκευοφυλαξ	storekeeper
λιθοκολλα	cement
κιχλη	wrasse
βιάζω	force
βίαιος	violent
βεβιασμένος	forced
γνώμων	sundial
γνώμη	opinion
γόης	sorcerer
γλωσσίς	wryneck
δειλία	cowardice
δασύς	hairy
δασύτης	aspiration
δίπλωσις	doubling
γαγγλίον	ganglion
ἀνάγκη	necessity
ἀναγκάζω	compel
κομήτης	comet
δυσμενής	hostile
κρατύς	strong
κληδών	omen
κνημίς	greave
δοτικός	generous
δῆρις	battle
ζημία	penalty
λίς	lion
λείτωρ	priest
λυριστής	lyrist
μύωψ	shortsighted
σκευοφύλαξ	storekeeper
αὔλιον	cottage
γλαυκῶπις	bright-eyed
γλαφυρός	polished
βάμβαξ	cotton
βεβιάζω	force
εἰκών	image
εἰκονοκλάστης	iconoclast
δορύ	spear
ἰωνικός	ionic
ὀρεκτικός	appetitive
ῥαφανίς	radish
